Atlanta,Hawks,State Farm Arena,3
Boston,Celtics,TD Garden,1
Brooklyn,Nets,Barclays Center,1
Chicago,Bulls,United Center,2
Charlotte,Hornets,Spectrum Center,3
Cleveland,Cavaliers,Quicken Loans Arena,2
Dallas,Mavericks,American Airlines Center,6
Denver,Nuggets,Pepsi Center,4
Detroit,Pistons,Little Caesars Arena,2
Golden State,Warriors,Chase Center,5
Houston,Rockets,Toyota Center,6
Indiana,Pacers,Bankers Life Fieldhouse,2
Los Angeles,Clippers,Staples Center,5
Los Angeles,Lakers,Staples Center,5
Memphis,Grizzlies,FedExForum,6
Miami,Heat,American Airlines Arena,3
Milwaukee,Bucks,Fiserv Forum,2
Minnesota,Timberwolves,Target Center,4
New Orlean,Pelicans,Smoothie King Center,6
New York,Knicks,Madison Square Garden,1
Oklahoma,Thunder,Chesapeake Energy Arena,4
Orlando,Magic,Amway Center,3
Philadelphia,76ers,Wells Fargo Center,1
Phoenix,Suns,Talking Stick Resort Arena,5
Portland,Blazers,Moda Center,4
Sacramento,Kings,Golden 1 Center,5
San Antonio,Spurs,AT&T Center,6
Toronto,Raptors,Scotiabank Arena,1
Utah,Jazz,Vivint Smart Home Arena,4
Washington,Wizards,Capital One Arena,3
